"title","score","episode_count","episode_length","member_count","start_date","synopsis","genre","studio","source","url","image"
I Love Me 2nd Season,0.0,"3 eps","10 min",76,2022-10-23,(No synopsis yet.),{Kids},Unknown,Original,https://myanimelist.net/anime/53408/I_Love_Me_2nd_Season,https://cdn.myanimelist.net/images/qm_50.gif
One Piece,8.67,? eps,"24 min",2004334,1999-10-20,"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King.

Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.

[Written by MAL Rewrite] ","{Action,Adventure,Fantasy,Shounen}",Toei Animation,Manga,https://myanimelist.net/anime/21/One_Piece,https://cdn.myanimelist.net/images/anime/6/73245.jpg
Boruto: Naruto Next Generations,5.75,? eps,"23 min",781580,2017-04-05,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja.

Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life.

New friends and familiar faces join Boruto as a new story begins in Boruto: Naruto Next Generations.

[Written by MAL Rewrite]","{Action,Adventure,Fantasy,""Martial Arts"",Shounen}",Pierrot,Manga,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,https://cdn.myanimelist.net/images/anime/9/84460.jpg
Detective Conan,8.16,? eps,"25 min",319730,1996-01-08,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child.

Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa.

Detective Conan follows Shinichi who, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday.

[Written by MAL Rewrite]","{Adventure,Comedy,Mystery,Detective,Shounen}",TMS Entertainment,Manga,https://myanimelist.net/anime/235/Detective_Conan,https://cdn.myanimelist.net/images/anime/7/75199.jpg
Isekai Ojisan,7.87,"13 eps","24 min",201327,2022-07-06,"After a fatal encounter with a truck, Takafumi Takaoka's uncle, Yousuke ""Ojisan"" Shibazaki, lies comatose for 17 years. When he finally regains consciousness, Ojisan begins to ramble in a foreign tongue and reveals that he had been transported to a magical world called Gran Bahamal. Takafumi dismisses his uncle's claims as nonsense until an incantation makes a cup of water hover in the air. In a flash of brilliance, the pair creates a YouTube channel to showcase Ojisan's magical abilities.

The responsibility now falls on Takafumi's shoulders to acquaint Ojisan with everything that has transpired during his absence, including getting him up to speed with the internet, new technology, and surprisingly, the outcome of the '90s console war—the result of which was especially distressing for a hardcore SEGA fan. With Ojisan's wisdom from his other world experiences, they grow their YouTube channel and tackle online comments and trolls. The journey of this uncle-nephew duo promises to be anything but conventional.

[Written by MAL Rewrite]
","{Comedy,Fantasy,""Adult Cast""}",AtelierPontdarc,Manga,https://myanimelist.net/anime/49220/Isekai_Ojisan,https://cdn.myanimelist.net/images/anime/1743/125204.jpg
Yoru wa Neko to Issho,6.92,? eps,"2 min",8689,2022-08-04,"Fuuta-kun has never owned a cat before, but his younger sister, Pii-chan, moves into his house with the round gray cat Kyuruga. Inexperienced with cats, Fuuta-kun has no idea what to expect, and each night after he returns home is marked by odd and endearing surprises from his new pet.

[Written by MAL Rewrite]
",{Comedy},Studio PuYUKAI,Web manga,https://myanimelist.net/anime/51692/Yoru_wa_Neko_to_Issho,https://cdn.myanimelist.net/images/anime/1969/124909.jpg
Mama Katsu: Midareru Mama-tachi no Himitsu,0.0,? eps,"24 min",736,2022-12-23,(No synopsis yet.),{Hentai},Nur,Original,https://myanimelist.net/anime/53258/Mama_Katsu__Midareru_Mama-tachi_no_Himitsu,https://cdn.myanimelist.net/images/anime/1378/128837.jpg
Crayon Shin-chan,7.76,? eps,"21 min",75089,1992-04-13,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.

Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.

[Written by MAL Rewrite]","{Comedy,Ecchi,School,Seinen}",Shin-Ei Animation,Manga,https://myanimelist.net/anime/966/Crayon_Shin-chan,https://cdn.myanimelist.net/images/anime/10/59897.jpg
Pokemon (2019),7.22,? eps,"23 min",69617,2019-11-17,"On a new day in the Kanto region, Satoshi gets invited by Professor Yukinari Ookido over to Professor Sakuragi's lab-opening ceremony in Vermillion City. During the ceremonial speech, Professor Sakuragi receives an alert of a possibly rare Pokémon appearing in Vermillion City's harbor, leading Satoshi and the other trainers to rush to the area in hopes of finding the mysterious Pokémon. At the harbor, they find Lugia—a Legendary Pokémon—engaged in combat with other trainers.

Noticing the other trainers' tactics, Satoshi has his partner, Pikachu, strike Lugia with a Thunderbolt attack. Unfazed, Lugia flees, but not before Satoshi determinedly leaps onto its back. To Satoshi's surprise, he meets another boy, Gou, who leapt onto Lugia's back as well. The two ride on Lugia's back as it brings them along on a bizarre adventure across the seas. As it lets the two back on the ground, Satoshi and Gou bid their farewells to Lugia and return to Sakuragi Institute.

Impressed by Gou's findings and Satoshi's insight taken during their encounter, Sakuragi requests for the duo to be his new research partners. And so the duo's journey begins, traveling across multiple regions to meet many new Pokémon—including ones that have the ability to Gigantamax!

[Written by MAL Rewrite]","{Action,Adventure,Comedy,Fantasy,Kids}",OLM,Game,https://myanimelist.net/anime/40351/Pokemon_2019,https://cdn.myanimelist.net/images/anime/1689/105554.jpg
Hoshi no Samidare,5.27,"24 eps","24 min",43148,2022-07-09,"College student Yuuhi Amamiya's monotonous life is turned upside down with the appearance of Sir Noi Crezant, a talking lizard claiming to be a knight of justice. Crezant elaborates that the world is in peril—threatened by the mage Animus who wishes to annihilate it with his Biscuit Hammer, an enormous structure suspended in Earth's orbit. As the newly appointed Lizard Knight, Yuuhi must fight alongside other Beast Knights to protect the princess and save the planet from destruction.

Unimpressed by the prospect of risking his life, Yuuhi continues his day as usual—until a golem created by Animus suddenly confronts him. Yuuhi is instantly overpowered, but his neighbor, Princess Samidare Asahina, luckily rescues him. To his surprise, Samidare's intention starkly differs from Crezant's; instead of saving the world, she aims to destroy it with her own hands. Captivated by her firm ambition, Yuuhi resolves to become stronger and help Samidare realize her goal.

As the pair continues to fight against Animus' golems, Yuuhi finds himself gradually gaining an interest in life—but the chains of his past trauma may restrain him from progressing further.

[Written by MAL Rewrite]","{Action,Adventure,Comedy,Drama,Psychological,Seinen}",NAZ,Manga,https://myanimelist.net/anime/50891/Hoshi_no_Samidare,https://cdn.myanimelist.net/images/anime/1186/125305.jpg
